id,title,price,promo_price,url
327720,Батончик R.A.W.LIFE орехово-фруктовый макадамия 47г,"155,90",114,https://www.detmir.ru/product/index/id/3277206/
327720,Батончик R.A.W.LIFE орехово-фруктовый какао-мята 47г,"155,90",114,https://www.detmir.ru/product/index/id/3277207/
328683,Хлебцы Take a Bite хрустящие гречневые 150г,"129,90",,https://www.detmir.ru/product/index/id/3286838/
328604,Орехи Семушка кедровые 250г,779,,https://www.detmir.ru/product/index/id/3286047/
328454,Снек Take a Bitey паффы мультизлаковые морковь 20г,"64,90","51,90",https://www.detmir.ru/product/index/id/3284543/
361824,Батончик Take a Bitey овсяно-фруктовый черная смородина 30г с 3лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618243/
328683,Хлебцы Take a Bite хрустящие кукурузно-рисовые с луком 150г,"138,90",125,https://www.detmir.ru/product/index/id/3286839/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-банан 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618242/
342226,Батончик ОлЛайт шоколадный с кокосом 30г,"44,90",,https://www.detmir.ru/product/index/id/3422269/
328451,Батончик Take a Bitey овсяно-фруктовый яблоко-банан 30г с 3лет,"64,90",45,https://www.detmir.ru/product/index/id/3284516/
360868,Батончик глазированный Snaq Fabriq ананас 40г,"49,90",,https://www.detmir.ru/product/index/id/3608689/
342227,Батончик ОлЛайт апельсин-имбирь 30г,"44,90",,https://www.detmir.ru/product/index/id/3422277/
328682,Батончик Take a Bite Мята орехово-фруктовый мята 45г,"113,30","90,90",https://www.detmir.ru/product/index/id/3286827/
328618,Печенье Bombbar овсяное ягодный микс 40г,"49,90",,https://www.detmir.ru/product/index/id/3286182/
328451,Батончик Take a Bitey фруктово-ягодный яблоко-вишня 25г с 2лет,"64,90",45,https://www.detmir.ru/product/index/id/3284515/
328604,Орехи Семушка кедровые 150г,519,,https://www.detmir.ru/product/index/id/3286041/
352637,Конфета R.A.W.LIFE Тирамису 18г,"44,90","35,90",https://www.detmir.ru/product/index/id/3526370/
360868,Батончик глазированный Snaq Fabriq кокос 40г,"49,90",,https://www.detmir.ru/product/index/id/3608688/
331032,Батончик Bombbar Кето со вкусом шоколадного парфе с миндалем 40г,"94,90",,https://www.detmir.ru/product/index/id/3310320/
328682,Батончик Take a Bite Мята орехово-фруктовый мята 45г,"113,30","90,90",https://www.detmir.ru/product/index/id/3286827/
331031,Батончик Bombbar Кето со вкусом тропического кокоса и миндаля 40г,"94,90",80,https://www.detmir.ru/product/index/id/3310319/
328683,Хлебцы Take a Bite хрустящие кукурузно-рисовые с луком 150г,"138,90",125,https://www.detmir.ru/product/index/id/3286839/
360868,Батончик глазированный Snaq Fabriq ананас 40г,"49,90",,https://www.detmir.ru/product/index/id/3608689/
328604,Орехи Семушка кедровые 150г,519,,https://www.detmir.ru/product/index/id/3286041/
342226,Батончик ОлЛайт шоколадный с кокосом 30г,"44,90",,https://www.detmir.ru/product/index/id/3422269/
343011,Батончик SIBERRYA Яркий злаковый 35г,"43,50",,https://www.detmir.ru/product/index/id/3430114/
342227,Батончик ОлЛайт яблочный с корицей 30г,"44,90",,https://www.detmir.ru/product/index/id/3422278/
360869,Батончик глазированный Snaq Fabriq манго-маракуйя 40г,"49,90",,https://www.detmir.ru/product/index/id/3608691/
327720,Батончик R.A.W.LIFE орехово-фруктовый макадамия 47г,"155,90",114,https://www.detmir.ru/product/index/id/3277206/
328683,Хлебцы Take a Bite хрустящие гречневые 150г,"129,90",,https://www.detmir.ru/product/index/id/3286838/
360868,Батончик глазированный Snaq Fabriq кокос 40г,"49,90",,https://www.detmir.ru/product/index/id/3608688/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-банан 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618242/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-груша 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618240/
327720,Батончик R.A.W.LIFE орехово-фруктовый какао-мята 47г,"155,90",114,https://www.detmir.ru/product/index/id/3277207/
328454,Снек Take a Bitey паффы мультизлаковые морковь 20г,"64,90","51,90",https://www.detmir.ru/product/index/id/3284543/
328618,Печенье Bombbar овсяное ягодный микс 40г,"49,90",,https://www.detmir.ru/product/index/id/3286182/
328604,Орехи Семушка кедровые 250г,779,,https://www.detmir.ru/product/index/id/3286047/
327720,Батончик R.A.W.LIFE орехово-фруктовый кешью 47г,"155,90",114,https://www.detmir.ru/product/index/id/3277203/
342227,Батончик ОлЛайт апельсин-имбирь 30г,"44,90",,https://www.detmir.ru/product/index/id/3422277/
331032,Батончик Bombbar Кето со вкусом шоколадного парфе с миндалем 40г,"94,90",,https://www.detmir.ru/product/index/id/3310320/
328618,Печенье Bombbar овсяное шоколад-мята 40г,"49,90",,https://www.detmir.ru/product/index/id/3286184/
328454,Снек Take a Bitey паффы мультизлаковые банан 20г,"64,90","51,90",https://www.detmir.ru/product/index/id/3284544/
361824,Батончик Take a Bitey овсяно-фруктовый черная смородина 30г с 3лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618243/
328451,Батончик Take a Bitey овсяно-фруктовый яблоко-клубника 30г с 3лет,"64,90",45,https://www.detmir.ru/product/index/id/3284517/
328451,Батончик Take a Bitey фруктово-ягодный яблоко-вишня 25г с 2лет,"64,90",45,https://www.detmir.ru/product/index/id/3284515/
328451,Батончик Take a Bitey овсяно-фруктовый яблоко-банан 30г с 3лет,"64,90",45,https://www.detmir.ru/product/index/id/3284516/
352637,Конфета R.A.W.LIFE Тирамису 18г,"44,90","35,90",https://www.detmir.ru/product/index/id/3526370/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-малина 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618241/
328608,Батончик Леовит Фрутончик со злаками яблоко-курага-рис 20г,"47,90","23,90",https://www.detmir.ru/product/index/id/3286084/
328454,Снек Take a Bitey паффы мультизлаковые банан 20г,"64,90","51,90",https://www.detmir.ru/product/index/id/3284544/
360869,Батончик глазированный Snaq Fabriq манго-маракуйя 40г,"49,90",,https://www.detmir.ru/product/index/id/3608691/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-груша 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618240/
343011,Батончик SIBERRYA Яркий злаковый 35г,"43,50",,https://www.detmir.ru/product/index/id/3430114/
328604,Орехи Семушка кедровые 150г,519,,https://www.detmir.ru/product/index/id/3286041/
331031,Батончик Bombbar Кето со вкусом тропического кокоса и миндаля 40г,"94,90",80,https://www.detmir.ru/product/index/id/3310319/
342227,Батончик ОлЛайт яблочный с корицей 30г,"44,90",,https://www.detmir.ru/product/index/id/3422278/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-малина 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618241/
342227,Батончик ОлЛайт апельсин-имбирь 30г,"44,90",,https://www.detmir.ru/product/index/id/3422277/
327720,Батончик R.A.W.LIFE орехово-фруктовый макадамия 47г,"155,90",114,https://www.detmir.ru/product/index/id/3277206/
360868,Батончик глазированный Snaq Fabriq кокос 40г,"49,90",,https://www.detmir.ru/product/index/id/3608688/
328454,Снек Take a Bitey паффы мультизлаковые морковь 20г,"64,90","51,90",https://www.detmir.ru/product/index/id/3284543/
328683,Хлебцы Take a Bite хрустящие кукурузно-рисовые с луком 150г,"138,90",125,https://www.detmir.ru/product/index/id/3286839/
352637,Конфета R.A.W.LIFE Тирамису 18г,"44,90","35,90",https://www.detmir.ru/product/index/id/3526370/
328618,Печенье Bombbar овсяное ягодный микс 40г,"49,90",,https://www.detmir.ru/product/index/id/3286182/
328451,Батончик Take a Bitey овсяно-фруктовый яблоко-клубника 30г с 3лет,"64,90",45,https://www.detmir.ru/product/index/id/3284517/
328608,Батончик Леовит Фрутончик со злаками яблоко-курага-рис 20г,"47,90","23,90",https://www.detmir.ru/product/index/id/3286084/
328604,Орехи Семушка кедровые 250г,779,,https://www.detmir.ru/product/index/id/3286047/
361824,Батончик Take a Bitey фруктово-ягодный яблоко-банан 25гр с 2лет,"54,90","43,90",https://www.detmir.ru/product/index/id/3618242/
